term_id,term_english,current_parent_contract,proposed_contract,proposed_qword,qualifier,confidence,note
T001,monetization,C03 (composite),C03,,composite,ASSUMED,matches enrichment.contract_ids
T002,sale-and-buyback,C03,C03,,,CLEAN,matches enrichment.contract_ids
T003,sale of debt,C03 / principle,C03,,principle,ASSUMED,matches enrichment.contract_ids
T004,deferred-payment sale,C03,C03,,,CLEAN,matches enrichment.contract_ids
T005,diminishing partnership,C01,C01,,,CLEAN,matches enrichment.contract_ids
T006,lease ending in ownership,C04,C04,,,CLEAN,matches enrichment.contract_ids
T007,lease certificates,C04,C04,,,CLEAN,matches enrichment.contract_ids
T008,profit-sharing certificates,C02,C02,,,CLEAN,matches enrichment.contract_ids
T009,partnership certificates,C01,C01,,,CLEAN,matches enrichment.contract_ids
T010,agency certificates,C07,C07,,,CLEAN,matches enrichment.contract_ids
T011,Islamic insurance,C02/C07 (composite),C07,,composite,AI_LINKED,"AI: wakala model dominant in modern takaful; mudarabah-model (C02) alt; scholar to verify"
T012,Islamic reinsurance,composite,C07,,composite,AI_LINKED,"AI: retakaful follows the takaful home (T011); scholar to verify"
T013,endowment,principle,,Q24,principle,AI_LINKED,"AI: waqf = endowment; direct match"
T014,gift,principle,,Q09,principle,AI_LINKED,"AI: hibah = voluntary giving; sadaqah/infaq family; scholar to verify"
T015,reward/commission,composite,,Q18,composite,AI_LINKED,"AI: ju'alah = pay for a task; ajr/wage family"
T016,pledge,C09,C09,,,CLEAN,matches enrichment.contract_ids
T017,debt transfer,composite,,Q15,composite,AI_LINKED,"AI: hawala moves a debt (dayn); guarantee family (C08) alt"
T018,earnest deposit,C03,C03,,,CLEAN,matches enrichment.contract_ids
T019,option,principle,C03,,principle,AI_LINKED,"AI: khiyar options live inside sale contracts; matches T096-T099 under C03"
T020,excessive uncertainty,principle,,Q23,principle,AI_LINKED,"AI: gharar; direct match"
T021,gambling/speculation,principle,,Q02,principle,AI_LINKED,"AI: maysir/qimar; direct match"
T022,excess riba,principle,,Q01,principle,AI_LINKED,"AI: riba al-fadl; riba family"
T023,deferment riba,principle,,Q01,principle,AI_LINKED,"AI: riba al-nasi'ah; riba family"
T024,forward sale,C05,C05,,,CLEAN,matches enrichment.contract_ids
T025,manufacturing sale,C06,C06,,,CLEAN,matches enrichment.contract_ids
T026,cost-plus sale,C03,C03,,,CLEAN,matches enrichment.contract_ids
T027,fee/wage,C07,C07,,,CLEAN,matches enrichment.contract_ids
T028,security deposit,composite,,Q17,composite,AI_LINKED,"AI: deposit held in trust; wadi'ah family"
