term_id,term_english,current_parent_contract,proposed_contract,proposed_qword,qualifier,confidence,note,decision,final_contract,final_qword,review_note
T001,monetization,C03 (composite),C03,,composite,ASSUMED,matches enrichment.contract_ids,ALREADY LINKED,C03,,
T002,sale-and-buyback,C03,C03,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C03,,
T003,sale of debt,C03 / principle,C03,,principle,ASSUMED,matches enrichment.contract_ids,ALREADY LINKED,C03,,
T004,deferred-payment sale,C03,C03,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C03,,
T005,diminishing partnership,C01,C01,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C01,,
T006,lease ending in ownership,C04,C04,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C04,,
T007,lease certificates,C04,C04,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C04,,
T008,profit-sharing certificates,C02,C02,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C02,,
T009,partnership certificates,C01,C01,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C01,,
T010,agency certificates,C07,C07,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C07,,
T011,Islamic insurance,C02/C07 (composite),C07,,composite,AI_LINKED,AI: wakala model dominant in modern takaful; mudarabah-model (C02) alt; scholar to verify,APPROVED (verifier-1 blanket YES; not named in detailed review),C07,,
T012,Islamic reinsurance,composite,C07,,composite,AI_LINKED,AI: retakaful follows the takaful home (T011); scholar to verify,APPROVED (named YES by detailed review),C07,,
T013,endowment,principle,,Q24,principle,AI_LINKED,AI: waqf = endowment; direct match,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q24,
T014,gift,principle,,Q09,principle,AI_LINKED,AI: hibah = voluntary giving; sadaqah/infaq family; scholar to verify,APPROVED (named YES by detailed review),,Q09,
T015,reward/commission,composite,,Q18,composite,AI_LINKED,AI: ju'alah = pay for a task; ajr/wage family,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q18,
T016,pledge,C09,C09,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C09,,
T017,debt transfer,composite,,Q15,composite,AI_LINKED,AI: hawala moves a debt (dayn); guarantee family (C08) alt,APPROVED (named YES by detailed review),,Q15,
T018,earnest deposit,C03,C03,,,CLEAN,matches enrichment.contract_ids,ALREADY LINKED,C03,,
T019,option,principle,C03,,principle,AI_LINKED,AI: khiyar options live inside sale contracts; matches T096-T099 under C03,RECLASSIFIED by detailed review,,Q14,
T020,excessive uncertainty,principle,,Q23,principle,AI_LINKED,AI: gharar; direct match,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q23,
T021,gambling/speculation,principle,,Q02,principle,AI_LINKED,AI: maysir/qimar; direct match,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q02,
T022,excess riba,principle,,Q01,principle,AI_LINKED,AI: riba al-fadl; riba family,APPROVED (verifier-1 blanket YES; not named in detailed review),,Q01,
