slug,famous,dod,status,candidates
F0045,Abdullah bin al-Arqam,,ambiguous_no_year,Q138084891:Abdullah Bin Al Arqam Mosque; Q124748047:Abd Allah ibn al-Arqam
F0072,Abdullah bin Tariq,626,ambiguous,Q138081990:Abdullah bin Tariq Mosque; Q30081370:Abd Allah bin Tariq
F0083,Abdullah ibn Muhammad,,ambiguous_no_year,Q307680:Abdullah ibn Muhammad al-Umawi; Q12223589:Abdullah ibn Muhammad ibn Abd al-Wahhab; Q127378608:Abdullah ibn Muhammad Ali Ba'alawi; Q100494185:Abdullah ibn Muhammad al-Fayrooz; Q317744:Abdullah al-Harari
F0094,Abdus Salam,1996,ambiguous,Q28189:Abdus Salam; Q116188679:Abdus Salam; Q112896646:Abdus Salam; Q123713994:Abdus Salam; Q109694540:Abdus Salam
F0102,Abu al-Abbas al-Mursi,1287,ambiguous,Q2479109:Abul Abbas al-Mursi; Q1323845:El-Mursi Abul Abbas Mosque
F0123,Abu Hadrad al-Aslami,,ambiguous_no_year,Q108564176:Abu Hadrad al-Aslami; Q5420925:Expedition of Abi Hadrad al-Aslami
F0132,Abu Kabsha,634,ambiguous,Q109448149:Abu Kabsha; Q116608865:Abu Kabsha; Q12178171:Abu Kabsha Servant of Muhammad
F0138,Abu Madyan,1198,ambiguous,Q590185:Abu Madyan; Q124746602:Abū madyan altiilimsāny; Q108736538:Salwa Abu-Madyan
F0146,Abu Qatada al-Ansari,674,ambiguous,Q4703988:Al Harith ibn Rib'i; Q137875423:Abu Qatada Al-Ansari Mosque in Ghriss
F0172,Adam,-3040,ambiguous,Q347181:Adam; Q10379699:Adam; Q28149770:Design Museum Brussels; Q3576953:Ádám; Q69488:MDMA
F0178,Adnan,-30,ambiguous,Q359360:Adnan; Q5621490:Adnan Dibrani; Q114977603:Adnan Mukhtar Tudunwa; Q123866924:Adnan; Q114252081:Adnan
F0179,Aflah,,ambiguous_no_year,Q4117422:Aflah Ash Shawm District; Q102166914:Aflahiah Radford; Q106512433:Aflaḥ; Q4117521:Aflah Al Yaman District; Q383333:Aflao
F0207,Al-Amiri,992,ambiguous,Q122731477:Al-Amiri; Q12247072:Al-Amiriyah District; Q22687625:El Amireya; Q4705022:Al `Amiriyah; Q137690406:Al-Amiria School (Karrari)
F0229,Al-Farabi,950,ambiguous,Q123884574:Al Farabi; Q122232787:al-Farabi; Q427677:Al-Farabi Kazakh National University; Q711624:7057 Al-Fārābī; Q28717279:Al Farabi
F0230,Al-Farghani,870,ambiguous,Q336550:Ahmad ibn Muhammad ibn Kathīr al-Farghānī; Q112918748:Al-Farghānī’s Elements of Chronology and Astronomy; Q5435089:Farghānī
F0271,Al-Kawakibi,1902,ambiguous,"Q4702670:Al-Kawakibi Democracy Transition Center; Q134932715:Al-Kawakibi Stamp, (UAR, 1960); Q123952397:Al Kawakibi Primary School"
F0279,Al-Maqrizi,1442,ambiguous,"Q293604:Al-Maqrizi; Q2829234:Al-Maqrîziy; Q136105060:Al-Maqrīzī’s al-Ḫabar ʿan al-bašar, Vol. V, Section 4: Persia and Its Kings, Part I; Q113727638:Al-Maqrizi's Inflation Concepts and Proof for the East Java Inflation Case 2015-2020"
F0284,Al-Mufid,1022,ambiguous,Q31875240:Al Mufīḑ; Q124964278:al-Mufīd; Q124972811:al-Mufīd; Q124972814:al-Mufīd; Q124972815:al-Mufīd
F0313,Al-Qabisi,1012,ambiguous,Q307201:Alchabitius; Q20758310:Al-Qabisi
F0337,Al-Sijistani,985,ambiguous,Q56537478:Al-Sijistani; Q4703256:Al-Sijistani
F0356,Al-Yaqubi,897,ambiguous,Q293689:al-Yaʿqubi; Q28221849:Al-Yaqoubi Mosque
F0357,Al-Yasa',-800,ambiguous,Q125492916:al-Yasa ibn al-Muntasir; Q22928779:al-Yasa' ibn Hazm
F0445,Ansa,635,ambiguous,Q392934:Agenzia Nazionale Stampa Associata; Q11878059:Ansa; Q4770487:Ansa; Q37256156:Ansari; Q1098731:Ansacq
F0500,Ayyub,-1500,ambiguous,Q11907434:Ayyub; Q2625307:Job in Islam; Q20001665:Ayoub; Q12201128:Ayyub al-Sakhtiyani; Q11907435:Ayyub
F0514,Banu Musa,873,ambiguous,Q423210:Banū Mūsā; Q103847806:Banū Mūsā
F0547,Damra,,ambiguous_no_year,Q37238187:Damra; Q123872102:Damra; Q37448410:Damrau; Q60294466:Damra; Q60376478:Damra
F0663,Harun,-1275,ambiguous,Q66615290:Harun; Q87183071:Harun; Q6669646:Harun; Q123711535:Harun; Q380714:Harun
F0669,Hasana,646,ambiguous,Q25929402:Hasana; Q72219322:Hasan Piker; Q10765930:Hasanağa; Q12840601:Həsənağa Mirzəyev; Q16819219:Hasanagić
F0672,Hassan ibn Thabit,,ambiguous_no_year,Q2315457:Hassan ibn Thabit; Q138063433:Hassan Ibn Thabit Mosque 3; Q137852161:Hassan ibn Thabit Mosque in Tadjemout; Q137751847:Hassan Ibn Thabit Mixed Om Algora School (Rabak); Q137567932:Hassan Ibn Thabit Mixed Om Algora (Jubayt Elma'aadin) School
F0677,Hawwa',,ambiguous_no_year,Q125244723:Hawwa Fazal; Q134309529:Hawwa Yumnu Rasheed; Q108886557:Ḥawwāʼ wa-al-qird; Q131603091:Hawwa Ali Albasir; Q27688658:Hawwa Haneefa
F0699,Hud,-2400,ambiguous,Q219786:Hūd; Q201812:Huddersfield; Q2720681:Hudson; Q1023499:Hudson; Q15221937:MinDat
F0716,Ibn Abd al-Wahhab,1792,ambiguous,Q69351:Muhammad ibn Abd al-Wahhab; Q92314346:Sulayman ibn Abd al-Wahhab
F0723,Ibn al-Muqaffa,759,ambiguous,Q21509424:Ibn al-Muqaffaʿ; Q1060637:Ibn al-Muqaffa'; Q5984312:Ibn al-Muqaffaʿ
F0748,Ibn Mashish,1228,ambiguous,Q124747922:Ibn Mashīsh; Q308115:Abd as-Salam ibn Mashish al-Alami
F0761,Ibrahim,-1725,ambiguous,Q9181:Abraham; Q30091560:Ibrahim; Q1768161:Ibrahim; Q892211:Ibrahim; Q343153:İbrahim
F0767,Idris,-3200,ambiguous,Q14492207:Idris; Q30090628:Idris; Q27548800:Idriss; Q342604:Idris Elba; Q114265947:Idris
F0771,Ilyas ibn Mudar,65,ambiguous,Q12210883:Khindif; Q12182485:Ilyas
F0773,Imam Ahmad ibn Hanbal,855,ambiguous,Q138058034:Imam Ahmad ibn Hanbal Mosque 2; Q138054427:Imam Ahmad Ibn Hanbal Masjid; Q138059816:Imam Ahmad ibn Hanbal Mosque 3; Q138113874:Imam Ahmad ibn Hanbal Mosque 4; Q138051471:Imam Ahmad ibn Hanbal Mosque 1
F0786,Isa,33,ambiguous,Q1673339:Isa; Q23190738:ISA; Q4218918:Isabel; Q37236630:Isa; Q60883997:Isa
F0788,Ishaq,-1620,ambiguous,Q37216427:Ishaq; Q1642480:Isaac in Islam; Q129453559:Isḥāq; Q12486794:Ishaq Iskandar; Q62101923:Ishaq
F0790,Ismail,-1713,ambiguous,Q1362214:Ismail; Q110523944:Ismail; Q147739:Izmail; Q20000302:Ismaïl; Q179695:Ismail Kadare
F0824,Jarir ibn Abd Allah,678,ambiguous,Q12205311:Jarir ibn Abd Allah al-Bajali; Q12205309:Jarir ibn Abd-Al·lah al-Himyarí
F0857,Kaysan,625,ambiguous,Q108910687:Kaysandra Waldron; Q116364709:Kaysan; Q117024256:Kaysan; Q125306492:Kaysanne Hockey; Q1270373:Kaysanites Shia
F0899,Khayra,,ambiguous_no_year,Q4117331:Khayran Al Muharraq District; Q3816411:Khayran as-Saqlabí; Q48734696:Khoyrasol; Q60422606:Khayrakuri; Q60436644:Khayramari
F0966,Mahmud Shabistari,1340,ambiguous,Q2738287:Shabestari; Q119642175:MAHMUD SHABISTARI’S CREATIVE HERITAGE. THE PHILOSOPHY OF MONOTHEISM
F0970,Malik Bennabi,1973,ambiguous,Q133294801:Malik Bennabi's Inspiration to Mahathir Mohamad in Transforming Malaysia's Development; Q129155666:Malik Bennabi dan Strategi Pembangunan Peradaban Alternatif bagi Dunia Ketiga
F1003,Mimar Sinan,1588,ambiguous,Q109962024:Mimar Sinan; Q10793803:Mimar Sinan; Q109386813:Mimar Sinan; Q6070242:Mimar Sinan; Q109388871:Mimar Sinan
F1013,Mohammad Khatami,2025,ambiguous,Q180795:Mohammad Khatami; Q5958272:Muhammad Amir Khatami; Q17615647:Mohammad Khatami meets Pope Benedict XVI; Q5960062:Government of Mohammad Khatami; Q6892139:Mohammad Khatami's reforms
