slug,famous,dod
F0001,A'isha bint Mu'awiya bin al-Mughira,
F0002,Abbad bin Bashr bin Waqash,634
F0003,Abbad bin Qays bin 'Amir,
F0004,Abbad bin Qays bin 'Aysha,629
F0005,Abbad bin Sahl b. Mukhrama,625
F0013,Abd al-Rauf al-Singkili,1693
F0016,Abd al-Wahid ibn Zayd,793
F0026,Abd Manaf ibn Qusayy,510
F0027,Abd' bin Jahsh,
F0028,Abdal Khan Sarwari,1605
F0030,Abdul Khaliq Ghujdawani,1179
F0033,Abdullah bin 'Abd Manaf bin al-Nu'man,
F0034,Abdullah bin 'Abdullah ibn Ubayy,634
F0035,Abdullah bin 'Abs,
F0036,Abdullah bin 'Amir bin Rabi'a,
F0037,Abdullah bin 'Amr,625
F0038,Abdullah bin 'Ayyash bin Abi Rabi'a,
F0039,Abdullah bin 'Umair,
F0040,Abdullah bin 'Unays al-Juhani,674
F0041,Abdullah bin 'Urfuta bin 'Adi,
F0042,Abdullah bin Abi Awfa,
F0043,Abdullah bin Abi Habiba bin al-'Az'ar,
F0044,Abdullah bin Abi Talha,
F0046,Abdullah bin al-Habib,625
F0047,Abdullah bin al-Harith,624
F0048,Abdullah bin al-Humayyir,
F0049,Abdullah bin al-Husayn ibn al-Harith,653
F0050,Abdullah bin al-Jadd bin Qays bin Sakhr,
F0051,Abdullah bin al-Nu'man bin Baldama,
F0052,Abdullah bin Haq,
F0055,Abdullah bin Ka'b,650
F0057,Abdullah bin Maz'un,650
F0058,Abdullah bin Mirba' bin Qayzi,636
F0059,Abdullah bin Mughfal al-Mazni,
F0060,Abdullah bin Qatada ibn al-Nu'man,
F0062,Abdullah bin Qays b Sakhr,
F0063,Abdullah bin Qayzi bin Qays,635
F0064,Abdullah bin Rabi' bin Qays,
F0065,Abdullah bin Sa'd bin Khaythama,
F0066,Abdullah bin Sa'sa'a,636
F0067,Abdullah bin Sahl bin Zayd,626
F0068,Abdullah bin Salma bin Malik,625
F0069,Abdullah bin Sufyan,636
F0070,Abdullah bin Suhayl,634
F0073,Abdullah bin Tha'laba bin Hazama,
F0074,Abdullah bin Yazid bin Zayd,692
F0076,Abdullah bin Zayd Mazni,681
F0077,Abdullah ibn 'Amr bin Haram,625
F0085,Abdur Rahman bin 'Aqeel al-Mazni,
F0086,Abdur Rahman bin al-Habib,625
F0087,Abdur Rahman bin Hassan ibn Thabit,
F0088,Abdur Rahman bin Mirba' bin Qayzi,636
F0089,Abdur Rahman bin Qayzi bin Qays,634
F0090,Abdur Rahman bin Sakran bin 'Amr,
F0091,Abdur Rahman ibn Uthman bin Maz'un,
F0095,Abi Laham al-Ghafari,
F0096,Abir ibn Shalikh,-1550
F0097,Abs bin 'Amir ibn 'Adi,
F0098,Abu 'Abs bin Jabir,
F0099,Abu 'Amra bin 'Amr bin Mihsan,656
F0100,Abu 'Ubayda bin 'Amr bin Mihsan,626
F0101,"Abu Akhzam/Ahzam bin 'Atik ( ,",637
F0105,Abu al-Hamra,
F0106,Abu al-Hasan Kharaqani,1033
F0108,Abu al-Rome ibn 'Umair,636
F0109,Abu Aqeel 'Abdur Rahman,634
F0110,"Abu Ayman, Client 'Amr bin al-Jamuh",625
F0115,Abu Burda bin Niyar,
F0116,Abu Da'ud 'Umayr bin 'Amir,
F0118,Abu Dayyah,628
F0120,Abu Dujana Simak bin Aus bin Kharasha,634
F0121,Abu Fakih Aflah bin Yasar,
F0122,Abu Habba bin Ghaziyah bin 'Amr,634
F0124,Abu Hannah/Hayyah/Habba,625
F0125,"Abu Hazim, Salma bin Dinar",
F0126,Abu Hubayra bin al-Harith,625
F0127,Abu Hudhayfah ibn 'Utbah,633
F0131,Abu Jubayra bin al-Dahhak,
F0133,Abu Kalab bin Abi Sa'sa'a,634
F0134,Abu Khuzayma bin Aws bin Zayd,
F0135,Abu Lubaba bin 'Abdul Mundhir,
F0139,Abu Marthad al-Ghanvi,634
F0140,"Abu Mas'ud al-Badri ( ,",
F0141,Abu Mulayl bin al-'Az'ar,
F0143,"Abu Na'yla bin Salaama bin Waqash ( ,",
F0144,Abu Najib Suhrawardi,1168
F0145,Abu Nasr al-Sarraj,988
F0147,Abu Qays bin al-Harith,634
F0149,Abu Rahm al-Ghafari,
F0150,Abu Sa'id Abu al-Khayr,1049
F0153,Abu Salamah ibn Abd al-Rahman,712
F0154,Abu Salit bin 'Amr bin Qays,
F0155,Abu Shaykh bin Thabit,626
F0156,Abu Sibrah bin Abi Ruhm,650
F0157,Abu Sinan bin Mihsan al-Asadi,
F0158,Abu Sufyan bin al-Harith bin Qays,625
F0160,Abu Sulayman al-Darani,815
F0163,Abu Tha'laba al-Khushni,
F0166,Abu Usayd Malik bin Rabi'a,
F0169,Abu'l-Awwar bin Zalim,
F0171,Abul-Haytham bin al-Tayyihan,
F0173,Adam bint al-Jamuh bin Zayd,
F0174,Adam bint Qurat bin Khansa',
F0175,Adi bin al-Zaghba',
F0176,Adiy bin Nadla bin 'Abdul-'Uzza,
F0177,Adiyy ibn Hatim,687
F0180,Afra' bint 'Ubayd b. Tha'laba,
F0181,Ahban bin Aus al-Aslami,
F0184,Ahmad al-Rifai,1182
F0189,Ahmad Raza Khan Barelvi,1921
F0195,Aidh bin 'Amr al-Mazni,
F0196,Aidh bin Ma'is b Qays,626
F0197,Aisha al-Ba'uniyya,1517
F0198,Aisha bint 'Umair bin al-Harith,
F0200,Aisha bint al-Harith bin Khalid,
F0201,Aisha bint Jaz' bin 'Amr,
F0202,Aisha bint Mas'ud bin al-Aswad,
